id,hip,hd,hr,gl,bf,proper,ra,dec,dist,pmra,pmdec,rv,mag,absmag,spect,ci,x,y,z,vx,vy,vz,rarad,decrad,pmrarad,pmdecrad,bayer,flam,con,comp,comp_primary,base,lum,var,var_min,var_max
57375,57548,,,Gl 447,,,11.795666,0.804563,3.3553,605.62,-1219.23,-31.1,11.12,13.491,M4.5V,1.746,-3.349892,0.179372,0.047111,0.00003095,-0.00001152,-0.00002028,3.088098042,0.014042269,2.94E-06,-5.91E-06,,,Vir,1,57375,,0.000349623,,11.171,11.041
119518,,,,Gl 866A,,,22.642562,-15.302542,3.3979,2361.37,2233.03,-60,12.66,15.004,M5  e,1.98,3.069893,-1.139264,-0.895949,-0.0000328,0.00005369,0.0000517,5.927808781,-0.267079749,1.14E-05,1.08E-05,,,,1,119518,Gl 866,8.68E-05,,,
91487,91772,173740,,Gl 725B,,,18.713249,59.626847,3.4545,-1393.2,1845.73,1.2,9.7,12.008,K5,1.561,0.324167,-1.716358,2.980381,-0.00002776,0.00002126,0.00001669,4.899117171,1.040684797,-6.75E-06,8.95E-06,,,Dra,2,91484,Gl 725,0.001370251,,,
103879,104214,201091,8085,Gl 820A,61    Cyg,,21.114794,38.749415,3.4865,4155.1,3258.9,-64.8,5.2,7.488,K5V,1.069,1.979356,-1.863636,2.181892,-0.00001456,0.0001102,0.00000149,5.527840164,0.67630488,2.01E-05,1.58E-05,,61,Cyg,1,103879,Gl 820,0.088064323,V1803,5.682,5.002
118493,,,,Gl 280B,,,7.655006,5.226824,3.4974,-702.34,-1021.92,0,10.7,12.981,DA,,-1.462274,3.161021,0.31861,0.00001014,0.00000644,-0.00001725,2.00407593,0.091225282,-3.41E-06,-4.95E-06,,,CMi,2,37173,Gl 280,0.000559242,,,
103883,104217,201092,8086,Gl 820B,61    Cyg,,21.115163,38.742055,3.498,4107.4,3143.72,-64.3,6.05,8.331,K7V,1.309,1.986273,-1.869789,2.188742,-0.00001387,0.00010874,0.00000044,5.527936855,0.676176415,1.99E-05,1.52E-05,,61,Cyg,2,103879,Gl 820,0.040513522,,,
37173,37279,61421,2943,Gl 280A,10Alp CMi,Procyon,7.655033,5.224993,3.5142,-716.57,-1034.58,-4,0.4,2.671,F5IV-V,0.432,-1.469312,3.17617,0.320024,0.00001212,0.00000289,-0.00001792,2.004083041,0.091193332,-3.47E-06,-5.02E-06,Alp,10,CMi,1,37173,Gl 280,7.440463662,,,
117979,,,,Gl 15B,,,0.30516,44.023502,3.568,2880.25,415.05,11.3,11.06,13.298,M6 Ve,1.79,2.557764,0.20548,2.479994,-0.00000063,0.00004993,0.00001319,0.079890711,0.768355054,1.40E-05,2.01E-06,,,And,2,1472,Gl  15,0.000417638,,,
91484,91768,173739,,Gl 725A,,,18.713179,59.630396,3.5691,-1326.88,1802.12,-0.8,8.94,11.177,K5,1.504,0.334856,-1.773105,3.079349,-0.00002763,0.00002258,0.00001506,4.899098725,1.040746744,-6.43E-06,8.74E-06,,,Dra,1,91484,Gl 725,0.002945778,,9.149,8.809
1472,1475,1326,,Gl 15A,,,0.306174,44.022954,3.5873,2888.92,410.58,12,8.09,10.316,M1V,1.56,2.571275,0.20667,2.493057,-0.00000017,0.00005039,0.00001366,0.080156205,0.76834549,1.40E-05,1.99E-06,,,And,1,1472,Gl  15,0.006510285,GX,8.125,8.065
108526,108870,209100,8387,Gl 845,Eps Ind,,22.055486,-56.785977,3.6224,3959.97,-2538.84,-40.4,4.69,6.895,K5V,1.056,1.732589,-0.966715,-3.030307,-0.00001843,0.00008993,0.00001014,5.774112724,-0.991102263,1.92E-05,-1.23E-05,Eps,,Ind,1,108526,,0.152054753,,,
118541,,,,GJ 1111,,,8.497244,26.778532,3.6258,-1141.11,-601.64,-5,14.81,17.013,M6.5,2.06,-1.968452,2.569351,1.633464,0.0000158,0.00001236,-0.00001174,2.22457321,0.467373555,-5.53E-06,-2.92E-06,,,,1,118541,,1.36E-05,,,
